Member_number,Date,itemDescription,Day,Day_Name,Month,Is_Weekend
1411,2015-02-20,frankfurter,Friday,Friday,February,False
3390,2015-11-14,soda,Saturday,Saturday,November,True
4787,2015-08-01,beef,Saturday,Saturday,August,True
3310,2015-01-17,canned beer,Saturday,Saturday,January,True
1782,2015-10-10,pork,Saturday,Saturday,October,True
3375,2015-04-26,frankfurter,Sunday,Sunday,April,True
2760,2015-01-07,sausage,Wednesday,Wednesday,January,False
4249,2015-09-13,canned beer,Sunday,Sunday,September,True
2904,2015-06-06,specialty chocolate,Saturday,Saturday,June,True
4090,2015-02-26,curd,Thursday,Thursday,February,False
3060,2015-07-05,canned beer,Sunday,Sunday,July,True
3768,2015-10-07,whole milk,Wednesday,Wednesday,October,False
1232,2015-01-21,rolls/buns,Wednesday,Wednesday,January,False
1360,2015-10-23,pork,Friday,Friday,October,False
1107,2015-10-01,citrus fruit,Thursday,Thursday,October,False
2865,2015-11-04,pot plants,Wednesday,Wednesday,November,False
2958,2015-06-14,rolls/buns,Sunday,Sunday,June,True
2448,2015-07-12,butter,Sunday,Sunday,July,True
1222,2015-09-24,condensed milk,Thursday,Thursday,September,False
2943,2015-06-20,sausage,Saturday,Saturday,June,True
2270,2015-08-11,whole milk,Tuesday,Tuesday,August,False
3812,2015-07-21,sausage,Tuesday,Tuesday,July,False
1482,2015-11-22,beverages,Sunday,Sunday,November,True
4720,2015-02-22,beverages,Sunday,Sunday,February,True
1344,2015-09-04,bottled water,Friday,Friday,September,False
2397,2015-10-04,newspapers,Sunday,Sunday,October,True
4182,2015-05-12,cleaner,Tuesday,Tuesday,May,False
4487,2015-07-10,sausage,Friday,Friday,July,False
3467,2015-12-24,newspapers,Thursday,Thursday,December,False
2443,2015-11-15,sausage,Sunday,Sunday,November,True
2749,2015-01-27,misc. beverages,Tuesday,Tuesday,January,False
4389,2015-04-13,white wine,Monday,Monday,April,False
1674,2015-12-04,sausage,Friday,Friday,December,False
4262,2015-10-16,meat,Friday,Friday,October,False
2082,2015-04-07,frankfurter,Tuesday,Tuesday,April,False
4494,2015-01-06,ice cream,Tuesday,Tuesday,January,False
2460,2015-09-28,canned beer,Monday,Monday,September,False
4509,2015-11-29,tropical fruit,Sunday,Sunday,November,True
2267,2015-07-03,meat,Friday,Friday,July,False
4891,2015-09-05,whole milk,Saturday,Saturday,September,True
3962,2015-09-20,sausage,Sunday,Sunday,September,True
4964,2015-07-18,frankfurter,Saturday,Saturday,July,True
2914,2015-11-30,meat,Monday,Monday,November,False
2808,2015-05-05,root vegetables,Tuesday,Tuesday,May,False
1085,2015-08-15,root vegetables,Saturday,Saturday,August,True
3808,2015-08-18,whole milk,Tuesday,Tuesday,August,False
4149,2015-01-07,citrus fruit,Wednesday,Wednesday,January,False
2331,2015-06-05,citrus fruit,Friday,Friday,June,False
4475,2015-04-03,other vegetables,Friday,Friday,April,False
2761,2015-04-25,citrus fruit,Saturday,Saturday,April,True
2620,2015-12-14,sausage,Monday,Monday,December,False
3206,2015-10-13,frankfurter,Tuesday,Tuesday,October,False
1226,2015-04-13,hard cheese,Monday,Monday,April,False
1395,2015-03-07,cream cheese ,Saturday,Saturday,March,True
2465,2015-06-07,turkey,Sunday,Sunday,June,True
3572,2015-07-09,pork,Thursday,Thursday,July,False
4387,2015-05-08,whole milk,Friday,Friday,May,False
1555,2015-03-27,rolls/buns,Friday,Friday,March,False
1181,2015-11-16,sausage,Monday,Monday,November,False
2814,2015-05-11,ice cream,Monday,Monday,May,False
2794,2015-09-16,liquor,Wednesday,Wednesday,September,False
2912,2015-01-28,pip fruit,Wednesday,Wednesday,January,False
4667,2015-01-12,root vegetables,Monday,Monday,January,False
2235,2015-10-25,soda,Sunday,Sunday,October,True
2353,2015-05-02,soda,Saturday,Saturday,May,True
3449,2015-03-08,sausage,Sunday,Sunday,March,True
1058,2015-11-10,root vegetables,Tuesday,Tuesday,November,False
1027,2015-05-17,pork,Sunday,Sunday,May,True
3302,2015-05-22,pork,Friday,Friday,May,False
2229,2015-05-30,chocolate,Saturday,Saturday,May,True
2188,2015-08-15,fruit/vegetable juice,Saturday,Saturday,August,True
1547,2015-04-18,pickled vegetables,Saturday,Saturday,April,True
1649,2015-06-30,bottled water,Tuesday,Tuesday,June,False
3254,2015-09-10,frankfurter,Thursday,Thursday,September,False
2818,2015-11-07,tropical fruit,Saturday,Saturday,November,True
2703,2015-05-08,canned beer,Friday,Friday,May,False
3332,2015-01-31,root vegetables,Saturday,Saturday,January,True
2473,2015-07-01,meat,Wednesday,Wednesday,July,False
2810,2015-12-30,frankfurter,Wednesday,Wednesday,December,False
1033,2015-04-22,tropical fruit,Wednesday,Wednesday,April,False
4222,2015-05-27,tropical fruit,Wednesday,Wednesday,May,False
3679,2015-09-21,citrus fruit,Monday,Monday,September,False
2212,2015-08-27,hamburger meat,Thursday,Thursday,August,False
1507,2015-06-22,chicken,Monday,Monday,June,False
2870,2015-01-21,chicken,Wednesday,Wednesday,January,False
3429,2015-04-26,frankfurter,Sunday,Sunday,April,True
4148,2015-04-09,canned beer,Thursday,Thursday,April,False
2970,2015-12-30,turkey,Wednesday,Wednesday,December,False
2013,2015-08-30,packaged fruit/vegetables,Sunday,Sunday,August,True
3967,2015-05-30,pasta,Saturday,Saturday,May,True
2885,2015-05-15,citrus fruit,Friday,Friday,May,False
3935,2015-07-02,sausage,Thursday,Thursday,July,False
3283,2015-05-01,whole milk,Friday,Friday,May,False
3268,2015-11-06,canned beer,Friday,Friday,November,False
3677,2015-04-30,citrus fruit,Thursday,Thursday,April,False
3495,2015-06-27,liquor (appetizer),Saturday,Saturday,June,True
1410,2015-10-04,citrus fruit,Sunday,Sunday,October,True
2440,2015-06-06,sausage,Saturday,Saturday,June,True
4088,2015-01-13,chicken,Tuesday,Tuesday,January,False
2469,2015-09-23,hamburger meat,Wednesday,Wednesday,September,False
4229,2015-03-06,sausage,Friday,Friday,March,False
2728,2015-08-02,beef,Sunday,Sunday,August,True
4694,2015-01-25,citrus fruit,Sunday,Sunday,January,True
2836,2015-12-29,UHT-milk,Tuesday,Tuesday,December,False
1311,2015-02-12,candy,Thursday,Thursday,February,False
1760,2015-01-23,newspapers,Friday,Friday,January,False
3656,2015-03-02,beef,Monday,Monday,March,False
3720,2015-05-28,sausage,Thursday,Thursday,May,False
2996,2015-09-26,frankfurter,Saturday,Saturday,September,True
1949,2015-07-22,canned beer,Wednesday,Wednesday,July,False
4498,2015-02-11,bottled beer,Wednesday,Wednesday,February,False
2447,2015-12-28,onions,Monday,Monday,December,False
1952,2015-03-23,tropical fruit,Monday,Monday,March,False
4099,2015-01-27,bottled water,Tuesday,Tuesday,January,False
1804,2015-03-12,beef,Thursday,Thursday,March,False
1510,2015-05-16,sausage,Saturday,Saturday,May,True
2879,2015-04-18,hair spray,Saturday,Saturday,April,True
4899,2015-03-12,chicken,Thursday,Thursday,March,False
4326,2015-09-29,pork,Tuesday,Tuesday,September,False
1670,2015-05-17,ice cream,Sunday,Sunday,May,True
1117,2015-05-24,meat,Sunday,Sunday,May,True
1346,2015-04-03,other vegetables,Friday,Friday,April,False
1178,2015-11-15,bottled water,Sunday,Sunday,November,True
1649,2015-06-25,tropical fruit,Thursday,Thursday,June,False
4651,2015-06-21,photo/film,Sunday,Sunday,June,True
4243,2015-04-02,sausage,Thursday,Thursday,April,False
4429,2015-07-21,grapes,Tuesday,Tuesday,July,False
4645,2015-07-25,domestic eggs,Saturday,Saturday,July,True
4019,2015-07-24,rolls/buns,Friday,Friday,July,False
4459,2015-04-26,tropical fruit,Sunday,Sunday,April,True
3006,2015-12-27,chicken,Sunday,Sunday,December,True
1834,2015-09-17,frankfurter,Thursday,Thursday,September,False
3236,2015-07-04,berries,Saturday,Saturday,July,True
1765,2015-03-11,margarine,Wednesday,Wednesday,March,False
3855,2015-03-09,tropical fruit,Monday,Monday,March,False
4392,2015-11-28,ham,Saturday,Saturday,November,True
3330,2015-07-26,hamburger meat,Sunday,Sunday,July,True
1723,2015-09-02,yogurt,Wednesday,Wednesday,September,False
4110,2015-03-30,soda,Monday,Monday,March,False
2600,2015-01-28,yogurt,Wednesday,Wednesday,January,False
2946,2015-10-07,soda,Wednesday,Wednesday,October,False
2426,2015-09-08,bottled water,Tuesday,Tuesday,September,False
4170,2015-05-03,sausage,Sunday,Sunday,May,True
1109,2015-04-06,citrus fruit,Monday,Monday,April,False
3429,2015-01-04,shopping bags,Sunday,Sunday,January,True
2055,2015-02-04,newspapers,Wednesday,Wednesday,February,False
2480,2015-09-20,frankfurter,Sunday,Sunday,September,True
2441,2015-05-30,sausage,Saturday,Saturday,May,True
1054,2015-10-04,frankfurter,Sunday,Sunday,October,True
4818,2015-01-11,salt,Sunday,Sunday,January,True
3379,2015-01-21,oil,Wednesday,Wednesday,January,False
3939,2015-02-10,curd,Tuesday,Tuesday,February,False
1367,2015-08-05,other vegetables,Wednesday,Wednesday,August,False
1043,2015-01-10,citrus fruit,Saturday,Saturday,January,True
2231,2015-10-17,frankfurter,Saturday,Saturday,October,True
3235,2015-12-28,root vegetables,Monday,Monday,December,False
4554,2015-07-16,tropical fruit,Thursday,Thursday,July,False
3245,2015-01-24,beef,Saturday,Saturday,January,True
2996,2015-05-19,berries,Tuesday,Tuesday,May,False
2507,2015-01-05,canned beer,Monday,Monday,January,False
4186,2015-10-25,whipped/sour cream,Sunday,Sunday,October,True
3929,2015-04-28,root vegetables,Tuesday,Tuesday,April,False
3760,2015-11-22,whole milk,Sunday,Sunday,November,True
4928,2015-08-18,beef,Tuesday,Tuesday,August,False
4217,2015-12-18,frozen vegetables,Friday,Friday,December,False
1174,2015-02-11,rolls/buns,Wednesday,Wednesday,February,False
4103,2015-06-19,whole milk,Friday,Friday,June,False
4408,2015-03-13,whole milk,Friday,Friday,March,False
2588,2015-12-28,citrus fruit,Monday,Monday,December,False
2598,2015-11-11,pastry,Wednesday,Wednesday,November,False
1518,2015-12-11,frankfurter,Friday,Friday,December,False
2702,2015-04-08,tropical fruit,Wednesday,Wednesday,April,False
1001,2015-01-20,frankfurter,Tuesday,Tuesday,January,False
2270,2015-09-30,berries,Wednesday,Wednesday,September,False
2838,2015-11-10,rolls/buns,Tuesday,Tuesday,November,False
1683,2015-05-26,root vegetables,Tuesday,Tuesday,May,False
4040,2015-04-03,yogurt,Friday,Friday,April,False
3897,2015-08-23,other vegetables,Sunday,Sunday,August,True
2200,2015-03-11,berries,Wednesday,Wednesday,March,False
4073,2015-01-29,berries,Thursday,Thursday,January,False
3700,2015-04-19,other vegetables,Sunday,Sunday,April,True
3973,2015-06-10,rolls/buns,Wednesday,Wednesday,June,False
2715,2015-07-06,ham,Monday,Monday,July,False
3967,2015-11-23,whole milk,Monday,Monday,November,False
4002,2015-09-03,tropical fruit,Thursday,Thursday,September,False
2962,2015-03-01,bottled water,Sunday,Sunday,March,True
4340,2015-12-25,butter milk,Friday,Friday,December,False
2092,2015-11-06,newspapers,Friday,Friday,November,False
3143,2015-05-24,coffee,Sunday,Sunday,May,True
2209,2015-10-03,bottled beer,Saturday,Saturday,October,True
2816,2015-08-22,onions,Saturday,Saturday,August,True
2659,2015-06-01,hamburger meat,Monday,Monday,June,False
1588,2015-10-13,sausage,Tuesday,Tuesday,October,False
1144,2015-10-15,hard cheese,Thursday,Thursday,October,False
2166,2015-12-10,sausage,Thursday,Thursday,December,False
3300,2015-10-06,hamburger meat,Tuesday,Tuesday,October,False
3944,2015-01-03,onions,Saturday,Saturday,January,True
4979,2015-04-24,coffee,Friday,Friday,April,False
2630,2015-01-21,shopping bags,Wednesday,Wednesday,January,False
4240,2015-04-29,yogurt,Wednesday,Wednesday,April,False
2357,2015-07-08,soda,Wednesday,Wednesday,July,False
1743,2015-04-18,sliced cheese,Saturday,Saturday,April,True
2331,2015-02-15,sausage,Sunday,Sunday,February,True
1643,2015-04-28,yogurt,Tuesday,Tuesday,April,False
1291,2015-03-20,domestic eggs,Friday,Friday,March,False
3675,2015-07-04,whole milk,Saturday,Saturday,July,True
4134,2015-11-06,meat,Friday,Friday,November,False
1363,2015-06-21,dish cleaner,Sunday,Sunday,June,True
4212,2015-05-01,other vegetables,Friday,Friday,May,False
1500,2015-03-21,whole milk,Saturday,Saturday,March,True
2622,2015-10-01,other vegetables,Thursday,Thursday,October,False
3543,2015-03-18,tropical fruit,Wednesday,Wednesday,March,False
2525,2015-05-24,baking powder,Sunday,Sunday,May,True
1264,2015-10-12,specialty bar,Monday,Monday,October,False
3601,2015-07-06,ice cream,Monday,Monday,July,False
1771,2015-03-23,frankfurter,Monday,Monday,March,False
4694,2015-02-06,canned beer,Friday,Friday,February,False
1122,2015-12-21,bottled water,Monday,Monday,December,False
3507,2015-08-12,other vegetables,Wednesday,Wednesday,August,False
4524,2015-04-26,citrus fruit,Sunday,Sunday,April,True
3612,2015-09-27,sausage,Sunday,Sunday,September,True
3262,2015-06-11,domestic eggs,Thursday,Thursday,June,False
1897,2015-01-25,pork,Sunday,Sunday,January,True
1656,2015-10-30,specialty cheese,Friday,Friday,October,False
3953,2015-01-10,pork,Saturday,Saturday,January,True
1488,2015-06-21,beef,Sunday,Sunday,June,True
1652,2015-03-17,other vegetables,Tuesday,Tuesday,March,False
4953,2015-09-16,chicken,Wednesday,Wednesday,September,False
3445,2015-04-30,soda,Thursday,Thursday,April,False
3180,2015-03-15,whole milk,Sunday,Sunday,March,True
4934,2015-09-06,rolls/buns,Sunday,Sunday,September,True
2980,2015-04-27,bottled beer,Monday,Monday,April,False
2763,2015-02-13,root vegetables,Friday,Friday,February,False
4819,2015-03-04,pastry,Wednesday,Wednesday,March,False
3169,2015-07-02,berries,Thursday,Thursday,July,False
1850,2015-03-11,citrus fruit,Wednesday,Wednesday,March,False
4285,2015-12-29,whole milk,Tuesday,Tuesday,December,False
4366,2015-08-13,soda,Thursday,Thursday,August,False
2253,2015-06-16,bottled water,Tuesday,Tuesday,June,False
3398,2015-03-11,tropical fruit,Wednesday,Wednesday,March,False
2215,2015-07-22,salty snack,Wednesday,Wednesday,July,False
3737,2015-03-03,bottled water,Tuesday,Tuesday,March,False
2649,2015-11-28,chocolate,Saturday,Saturday,November,True
3203,2015-08-07,citrus fruit,Friday,Friday,August,False
4261,2015-02-16,bottled water,Monday,Monday,February,False
2435,2015-07-17,onions,Friday,Friday,July,False
2046,2015-08-21,dessert,Friday,Friday,August,False
4267,2015-02-11,beef,Wednesday,Wednesday,February,False
1086,2015-12-28,rolls/buns,Monday,Monday,December,False
1992,2015-01-04,beef,Sunday,Sunday,January,True
3622,2015-07-26,soda,Sunday,Sunday,July,True
4700,2015-06-27,coffee,Saturday,Saturday,June,True
2272,2015-05-16,rolls/buns,Saturday,Saturday,May,True
1663,2015-05-19,pork,Tuesday,Tuesday,May,False
2519,2015-06-03,soda,Wednesday,Wednesday,June,False
2639,2015-10-30,sausage,Friday,Friday,October,False
1466,2015-04-19,beef,Sunday,Sunday,April,True
4122,2015-10-23,whole milk,Friday,Friday,October,False
3598,2015-04-15,pork,Wednesday,Wednesday,April,False
3097,2015-08-10,berries,Monday,Monday,August,False
1873,2015-09-19,sausage,Saturday,Saturday,September,True
1537,2015-02-01,bottled water,Sunday,Sunday,February,True
3960,2015-03-25,tropical fruit,Wednesday,Wednesday,March,False
1136,2015-06-15,herbs,Monday,Monday,June,False
2453,2015-12-21,yogurt,Monday,Monday,December,False
1746,2015-02-15,Instant food products,Sunday,Sunday,February,True
3572,2015-06-09,specialty chocolate,Tuesday,Tuesday,June,False
3246,2015-06-24,coffee,Wednesday,Wednesday,June,False
3207,2015-11-26,bottled beer,Thursday,Thursday,November,False
1042,2015-02-12,beef,Thursday,Thursday,February,False
1176,2015-03-30,whole milk,Monday,Monday,March,False
3054,2015-02-23,frankfurter,Monday,Monday,February,False
4486,2015-12-02,frankfurter,Wednesday,Wednesday,December,False
1580,2015-12-05,other vegetables,Saturday,Saturday,December,True
1623,2015-11-02,frankfurter,Monday,Monday,November,False
4169,2015-11-24,whole milk,Tuesday,Tuesday,November,False
2254,2015-01-24,frankfurter,Saturday,Saturday,January,True
4095,2015-11-01,other vegetables,Sunday,Sunday,November,True
1264,2015-11-17,bottled water,Tuesday,Tuesday,November,False
3375,2015-01-06,pork,Tuesday,Tuesday,January,False
3242,2015-05-23,bottled water,Saturday,Saturday,May,True
2227,2015-06-07,other vegetables,Sunday,Sunday,June,True
3847,2015-12-03,hamburger meat,Thursday,Thursday,December,False
