Member_number,Date,Is_Weekend,itemDescription,Category
2978,2015-06-05,False,ham,Other
2910,2015-07-28,False,turkey,Other
1061,2015-09-05,True,whole milk,Dairy
3276,2015-04-03,False,whole milk,Dairy
1326,2015-06-19,False,packaged fruit/vegetables,Produce
3023,2015-07-28,False,rolls/buns,Bakery
2185,2015-10-11,True,ham,Other
3552,2015-06-16,False,rolls/buns,Bakery
1967,2015-01-20,False,other vegetables,Produce
4708,2015-03-20,False,sausage,Meat
2874,2015-02-15,True,sausage,Meat
4177,2015-04-13,False,frankfurter,Other
1663,2015-02-07,True,rolls/buns,Bakery
2632,2015-03-02,False,whole milk,Dairy
1377,2015-03-14,True,curd cheese,Dairy
4162,2015-12-22,False,red/blush wine,Beverages
2270,2015-07-01,False,sausage,Meat
4829,2015-11-03,False,tropical fruit,Produce
3811,2015-04-14,False,red/blush wine,Beverages
4766,2015-09-29,False,whole milk,Dairy
2436,2015-04-12,True,frankfurter,Other
3860,2015-05-05,False,whole milk,Dairy
4875,2015-05-12,False,frozen potato products,Other
1587,2015-07-01,False,other vegetables,Produce
4038,2015-07-08,False,citrus fruit,Produce
4750,2015-09-21,False,flour,Other
1199,2015-12-10,False,sugar,Other
1603,2015-09-30,False,frozen meals,Other
3111,2015-01-31,True,chocolate,Other
3894,2015-12-13,True,root vegetables,Produce
1456,2015-09-18,False,root vegetables,Produce
2022,2015-03-04,False,herbs,Other
2505,2015-11-30,False,bottled water,Beverages
4851,2015-12-20,True,sausage,Meat
4293,2015-08-04,False,coffee,Other
2775,2015-11-06,False,pork,Meat
3693,2015-02-18,False,berries,Other
1202,2015-07-22,False,soda,Beverages
3699,2015-08-23,True,berries,Other
4152,2015-04-15,False,fruit/vegetable juice,Produce
4155,2015-01-26,False,citrus fruit,Produce
4010,2015-12-29,False,pork,Meat
4389,2015-10-20,False,detergent,Other
3746,2015-08-17,False,grapes,Other
2560,2015-05-17,True,sausage,Meat
1503,2015-07-25,True,chicken,Meat
2555,2015-12-23,False,whole milk,Dairy
3645,2015-12-12,True,citrus fruit,Produce
3886,2015-09-11,False,soda,Beverages
2932,2015-03-20,False,sausage,Meat
1711,2015-06-18,False,frankfurter,Other
4291,2015-12-08,False,sausage,Meat
1143,2015-04-25,True,soda,Beverages
4564,2015-07-08,False,rolls/buns,Bakery
3337,2015-05-14,False,beef,Meat
4931,2015-05-04,False,whole milk,Dairy
2623,2015-10-10,True,processed cheese,Dairy
4581,2015-04-03,False,tropical fruit,Produce
2635,2015-06-11,False,frankfurter,Other
1095,2015-10-30,False,packaged fruit/vegetables,Produce
2990,2015-05-23,True,whole milk,Dairy
2426,2015-06-05,False,berries,Other
4555,2015-11-07,True,citrus fruit,Produce
3635,2015-09-04,False,tropical fruit,Produce
3058,2015-05-18,False,hamburger meat,Other
4391,2015-03-26,False,hamburger meat,Other
1306,2015-06-23,False,whole milk,Dairy
1024,2015-08-10,False,fish,Other
1295,2015-07-23,False,frankfurter,Other
1661,2015-06-01,False,packaged fruit/vegetables,Produce
4591,2015-05-15,False,pastry,Bakery
3169,2015-06-14,True,other vegetables,Produce
3915,2015-05-21,False,misc. beverages,Other
1127,2015-01-14,False,frankfurter,Other
4828,2015-08-08,True,sparkling wine,Beverages
3683,2015-06-10,False,specialty bar,Other
1971,2015-09-18,False,sausage,Meat
3014,2015-11-11,False,curd cheese,Dairy
3779,2015-09-15,False,frankfurter,Other
2489,2015-05-04,False,whole milk,Dairy
3564,2015-06-27,True,newspapers,Other
4092,2015-09-30,False,berries,Other
3221,2015-01-13,False,curd,Other
1279,2015-09-06,True,tropical fruit,Produce
2581,2015-08-22,True,soda,Beverages
2295,2015-02-25,False,rolls/buns,Bakery
4760,2015-02-22,True,canned beer,Beverages
3649,2015-01-16,False,canned beer,Beverages
1075,2015-11-19,False,frankfurter,Other
3987,2015-08-19,False,other vegetables,Produce
4106,2015-08-25,False,whole milk,Dairy
4338,2015-06-24,False,whole milk,Dairy
4166,2015-11-06,False,citrus fruit,Produce
1211,2015-03-10,False,frankfurter,Other
3954,2015-01-21,False,frankfurter,Other
3928,2015-07-18,True,butter milk,Dairy
3827,2015-09-30,False,hamburger meat,Other
4699,2015-02-08,True,pasta,Other
4747,2015-06-08,False,other vegetables,Produce
3028,2015-06-09,False,sausage,Meat
2851,2015-03-16,False,rolls/buns,Bakery
4417,2015-02-25,False,grapes,Other
3822,2015-03-07,True,root vegetables,Produce
2288,2015-05-31,True,coffee,Other
2184,2015-06-30,False,popcorn,Other
4554,2015-08-27,False,whole milk,Dairy
3361,2015-03-05,False,tropical fruit,Produce
2999,2015-04-17,False,beef,Meat
2614,2015-06-25,False,whole milk,Dairy
4064,2015-06-05,False,frankfurter,Other
3567,2015-10-04,True,tropical fruit,Produce
2587,2015-05-07,False,canned beer,Beverages
3783,2015-06-17,False,finished products,Other
1923,2015-02-14,True,beverages,Other
4835,2015-02-19,False,hamburger meat,Other
1514,2015-08-24,False,whole milk,Dairy
3154,2015-06-22,False,finished products,Other
1313,2015-12-25,False,other vegetables,Produce
2794,2015-07-18,True,ham,Other
2359,2015-04-09,False,other vegetables,Produce
2238,2015-03-09,False,curd,Other
3795,2015-01-17,True,bottled beer,Beverages
3724,2015-11-26,False,curd,Other
1152,2015-03-05,False,whole milk,Dairy
4559,2015-03-16,False,whole milk,Dairy
3922,2015-02-27,False,dessert,Other
1709,2015-04-22,False,sausage,Meat
2219,2015-04-17,False,other vegetables,Produce
2206,2015-10-17,True,ham,Other
1752,2015-04-06,False,other vegetables,Produce
3942,2015-11-10,False,other vegetables,Produce
3296,2015-08-17,False,soda,Beverages
2257,2015-02-05,False,herbs,Other
4313,2015-07-28,False,frankfurter,Other
2001,2015-08-21,False,rolls/buns,Bakery
2449,2015-07-08,False,curd,Other
4914,2015-04-12,True,frankfurter,Other
2764,2015-07-24,False,other vegetables,Produce
4187,2015-05-09,True,dog food,Other
1392,2015-04-20,False,specialty bar,Other
3427,2015-04-28,False,curd,Other
1411,2015-02-20,False,frankfurter,Other
3390,2015-11-14,True,soda,Beverages
4787,2015-08-01,True,beef,Meat
3310,2015-01-17,True,canned beer,Beverages
1782,2015-10-10,True,pork,Meat
3375,2015-04-26,True,frankfurter,Other
2760,2015-01-07,False,sausage,Meat
4249,2015-09-13,True,canned beer,Beverages
2904,2015-06-06,True,specialty chocolate,Other
4090,2015-02-26,False,curd,Other
3060,2015-07-05,True,canned beer,Beverages
3768,2015-10-07,False,whole milk,Dairy
1232,2015-01-21,False,rolls/buns,Bakery
1360,2015-10-23,False,pork,Meat
1107,2015-10-01,False,citrus fruit,Produce
2865,2015-11-04,False,pot plants,Other
2958,2015-06-14,True,rolls/buns,Bakery
2448,2015-07-12,True,butter,Other
1222,2015-09-24,False,condensed milk,Dairy
2943,2015-06-20,True,sausage,Meat
2270,2015-08-11,False,whole milk,Dairy
3812,2015-07-21,False,sausage,Meat
1482,2015-11-22,True,beverages,Other
4720,2015-02-22,True,beverages,Other
1344,2015-09-04,False,bottled water,Beverages
2397,2015-10-04,True,newspapers,Other
4182,2015-05-12,False,cleaner,Other
4487,2015-07-10,False,sausage,Meat
3467,2015-12-24,False,newspapers,Other
2443,2015-11-15,True,sausage,Meat
2749,2015-01-27,False,misc. beverages,Other
4389,2015-04-13,False,white wine,Beverages
1674,2015-12-04,False,sausage,Meat
4262,2015-10-16,False,meat,Other
2082,2015-04-07,False,frankfurter,Other
4494,2015-01-06,False,ice cream,Dairy
2460,2015-09-28,False,canned beer,Beverages
4509,2015-11-29,True,tropical fruit,Produce
2267,2015-07-03,False,meat,Other
4891,2015-09-05,True,whole milk,Dairy
3962,2015-09-20,True,sausage,Meat
4964,2015-07-18,True,frankfurter,Other
2914,2015-11-30,False,meat,Other
2808,2015-05-05,False,root vegetables,Produce
1085,2015-08-15,True,root vegetables,Produce
3808,2015-08-18,False,whole milk,Dairy
4149,2015-01-07,False,citrus fruit,Produce
2331,2015-06-05,False,citrus fruit,Produce
4475,2015-04-03,False,other vegetables,Produce
2761,2015-04-25,True,citrus fruit,Produce
2620,2015-12-14,False,sausage,Meat
3206,2015-10-13,False,frankfurter,Other
1226,2015-04-13,False,hard cheese,Dairy
1395,2015-03-07,True,cream cheese ,Dairy
2465,2015-06-07,True,turkey,Other
3572,2015-07-09,False,pork,Meat
4387,2015-05-08,False,whole milk,Dairy
1555,2015-03-27,False,rolls/buns,Bakery
1181,2015-11-16,False,sausage,Meat
2814,2015-05-11,False,ice cream,Dairy
2794,2015-09-16,False,liquor,Other
2912,2015-01-28,False,pip fruit,Produce
4667,2015-01-12,False,root vegetables,Produce
2235,2015-10-25,True,soda,Beverages
2353,2015-05-02,True,soda,Beverages
3449,2015-03-08,True,sausage,Meat
1058,2015-11-10,False,root vegetables,Produce
1027,2015-05-17,True,pork,Meat
3302,2015-05-22,False,pork,Meat
2229,2015-05-30,True,chocolate,Other
2188,2015-08-15,True,fruit/vegetable juice,Produce
1547,2015-04-18,True,pickled vegetables,Produce
1649,2015-06-30,False,bottled water,Beverages
3254,2015-09-10,False,frankfurter,Other
2818,2015-11-07,True,tropical fruit,Produce
2703,2015-05-08,False,canned beer,Beverages
3332,2015-01-31,True,root vegetables,Produce
2473,2015-07-01,False,meat,Other
2810,2015-12-30,False,frankfurter,Other
1033,2015-04-22,False,tropical fruit,Produce
4222,2015-05-27,False,tropical fruit,Produce
3679,2015-09-21,False,citrus fruit,Produce
2212,2015-08-27,False,hamburger meat,Other
1507,2015-06-22,False,chicken,Meat
2870,2015-01-21,False,chicken,Meat
3429,2015-04-26,True,frankfurter,Other
4148,2015-04-09,False,canned beer,Beverages
2970,2015-12-30,False,turkey,Other
2013,2015-08-30,True,packaged fruit/vegetables,Produce
3967,2015-05-30,True,pasta,Other
2885,2015-05-15,False,citrus fruit,Produce
3935,2015-07-02,False,sausage,Meat
3283,2015-05-01,False,whole milk,Dairy
3268,2015-11-06,False,canned beer,Beverages
3677,2015-04-30,False,citrus fruit,Produce
3495,2015-06-27,True,liquor (appetizer),Other
1410,2015-10-04,True,citrus fruit,Produce
2440,2015-06-06,True,sausage,Meat
4088,2015-01-13,False,chicken,Meat
2469,2015-09-23,False,hamburger meat,Other
4229,2015-03-06,False,sausage,Meat
2728,2015-08-02,True,beef,Meat
4694,2015-01-25,True,citrus fruit,Produce
2836,2015-12-29,False,UHT-milk,Dairy
1311,2015-02-12,False,candy,Other
1760,2015-01-23,False,newspapers,Other
3656,2015-03-02,False,beef,Meat
3720,2015-05-28,False,sausage,Meat
2996,2015-09-26,True,frankfurter,Other
1949,2015-07-22,False,canned beer,Beverages
4498,2015-02-11,False,bottled beer,Beverages
2447,2015-12-28,False,onions,Produce
1952,2015-03-23,False,tropical fruit,Produce
4099,2015-01-27,False,bottled water,Beverages
1804,2015-03-12,False,beef,Meat
1510,2015-05-16,True,sausage,Meat
2879,2015-04-18,True,hair spray,Other
4899,2015-03-12,False,chicken,Meat
4326,2015-09-29,False,pork,Meat
1670,2015-05-17,True,ice cream,Dairy
1117,2015-05-24,True,meat,Other
1346,2015-04-03,False,other vegetables,Produce
1178,2015-11-15,True,bottled water,Beverages
1649,2015-06-25,False,tropical fruit,Produce
4651,2015-06-21,True,photo/film,Other
4243,2015-04-02,False,sausage,Meat
4429,2015-07-21,False,grapes,Other
4645,2015-07-25,True,domestic eggs,Other
4019,2015-07-24,False,rolls/buns,Bakery
4459,2015-04-26,True,tropical fruit,Produce
3006,2015-12-27,True,chicken,Meat
1834,2015-09-17,False,frankfurter,Other
3236,2015-07-04,True,berries,Other
1765,2015-03-11,False,margarine,Other
3855,2015-03-09,False,tropical fruit,Produce
4392,2015-11-28,True,ham,Other
3330,2015-07-26,True,hamburger meat,Other
1723,2015-09-02,False,yogurt,Dairy
4110,2015-03-30,False,soda,Beverages
2600,2015-01-28,False,yogurt,Dairy
2946,2015-10-07,False,soda,Beverages
2426,2015-09-08,False,bottled water,Beverages
4170,2015-05-03,True,sausage,Meat
1109,2015-04-06,False,citrus fruit,Produce
3429,2015-01-04,True,shopping bags,Other
2055,2015-02-04,False,newspapers,Other
2480,2015-09-20,True,frankfurter,Other
2441,2015-05-30,True,sausage,Meat
1054,2015-10-04,True,frankfurter,Other
4818,2015-01-11,True,salt,Other
3379,2015-01-21,False,oil,Other
3939,2015-02-10,False,curd,Other
1367,2015-08-05,False,other vegetables,Produce
1043,2015-01-10,True,citrus fruit,Produce
2231,2015-10-17,True,frankfurter,Other
3235,2015-12-28,False,root vegetables,Produce
4554,2015-07-16,False,tropical fruit,Produce
3245,2015-01-24,True,beef,Meat
2996,2015-05-19,False,berries,Other
2507,2015-01-05,False,canned beer,Beverages
4186,2015-10-25,True,whipped/sour cream,Dairy
3929,2015-04-28,False,root vegetables,Produce
3760,2015-11-22,True,whole milk,Dairy
4928,2015-08-18,False,beef,Meat
4217,2015-12-18,False,frozen vegetables,Produce
1174,2015-02-11,False,rolls/buns,Bakery
4103,2015-06-19,False,whole milk,Dairy
4408,2015-03-13,False,whole milk,Dairy
2588,2015-12-28,False,citrus fruit,Produce
2598,2015-11-11,False,pastry,Bakery
1518,2015-12-11,False,frankfurter,Other
2702,2015-04-08,False,tropical fruit,Produce
1001,2015-01-20,False,frankfurter,Other
2270,2015-09-30,False,berries,Other
2838,2015-11-10,False,rolls/buns,Bakery
1683,2015-05-26,False,root vegetables,Produce
4040,2015-04-03,False,yogurt,Dairy
3897,2015-08-23,True,other vegetables,Produce
2200,2015-03-11,False,berries,Other
4073,2015-01-29,False,berries,Other
3700,2015-04-19,True,other vegetables,Produce
3973,2015-06-10,False,rolls/buns,Bakery
2715,2015-07-06,False,ham,Other
3967,2015-11-23,False,whole milk,Dairy
4002,2015-09-03,False,tropical fruit,Produce
2962,2015-03-01,True,bottled water,Beverages
4340,2015-12-25,False,butter milk,Dairy
2092,2015-11-06,False,newspapers,Other
3143,2015-05-24,True,coffee,Other
2209,2015-10-03,True,bottled beer,Beverages
2816,2015-08-22,True,onions,Produce
2659,2015-06-01,False,hamburger meat,Other
1588,2015-10-13,False,sausage,Meat
1144,2015-10-15,False,hard cheese,Dairy
2166,2015-12-10,False,sausage,Meat
3300,2015-10-06,False,hamburger meat,Other
3944,2015-01-03,True,onions,Produce
4979,2015-04-24,False,coffee,Other
2630,2015-01-21,False,shopping bags,Other
4240,2015-04-29,False,yogurt,Dairy
2357,2015-07-08,False,soda,Beverages
1743,2015-04-18,True,sliced cheese,Dairy
2331,2015-02-15,True,sausage,Meat
1643,2015-04-28,False,yogurt,Dairy
1291,2015-03-20,False,domestic eggs,Other
3675,2015-07-04,True,whole milk,Dairy
4134,2015-11-06,False,meat,Other
1363,2015-06-21,True,dish cleaner,Other
4212,2015-05-01,False,other vegetables,Produce
1500,2015-03-21,True,whole milk,Dairy
2622,2015-10-01,False,other vegetables,Produce
3543,2015-03-18,False,tropical fruit,Produce
2525,2015-05-24,True,baking powder,Other
1264,2015-10-12,False,specialty bar,Other
3601,2015-07-06,False,ice cream,Dairy
1771,2015-03-23,False,frankfurter,Other
4694,2015-02-06,False,canned beer,Beverages
1122,2015-12-21,False,bottled water,Beverages
3507,2015-08-12,False,other vegetables,Produce
4524,2015-04-26,True,citrus fruit,Produce
3612,2015-09-27,True,sausage,Meat
3262,2015-06-11,False,domestic eggs,Other
1897,2015-01-25,True,pork,Meat
1656,2015-10-30,False,specialty cheese,Dairy
3953,2015-01-10,True,pork,Meat
1488,2015-06-21,True,beef,Meat
1652,2015-03-17,False,other vegetables,Produce
4953,2015-09-16,False,chicken,Meat
3445,2015-04-30,False,soda,Beverages
3180,2015-03-15,True,whole milk,Dairy
4934,2015-09-06,True,rolls/buns,Bakery
2980,2015-04-27,False,bottled beer,Beverages
2763,2015-02-13,False,root vegetables,Produce
4819,2015-03-04,False,pastry,Bakery
3169,2015-07-02,False,berries,Other
1850,2015-03-11,False,citrus fruit,Produce
4285,2015-12-29,False,whole milk,Dairy
4366,2015-08-13,False,soda,Beverages
2253,2015-06-16,False,bottled water,Beverages
3398,2015-03-11,False,tropical fruit,Produce
2215,2015-07-22,False,salty snack,Other
3737,2015-03-03,False,bottled water,Beverages
2649,2015-11-28,True,chocolate,Other
3203,2015-08-07,False,citrus fruit,Produce
4261,2015-02-16,False,bottled water,Beverages
2435,2015-07-17,False,onions,Produce
2046,2015-08-21,False,dessert,Other
4267,2015-02-11,False,beef,Meat
1086,2015-12-28,False,rolls/buns,Bakery
1992,2015-01-04,True,beef,Meat
3622,2015-07-26,True,soda,Beverages
4700,2015-06-27,True,coffee,Other
2272,2015-05-16,True,rolls/buns,Bakery
1663,2015-05-19,False,pork,Meat
2519,2015-06-03,False,soda,Beverages
2639,2015-10-30,False,sausage,Meat
1466,2015-04-19,True,beef,Meat
4122,2015-10-23,False,whole milk,Dairy
3598,2015-04-15,False,pork,Meat
3097,2015-08-10,False,berries,Other
1873,2015-09-19,True,sausage,Meat
1537,2015-02-01,True,bottled water,Beverages
3960,2015-03-25,False,tropical fruit,Produce
1136,2015-06-15,False,herbs,Other
2453,2015-12-21,False,yogurt,Dairy
1746,2015-02-15,True,Instant food products,Other
3572,2015-06-09,False,specialty chocolate,Other
3246,2015-06-24,False,coffee,Other
3207,2015-11-26,False,bottled beer,Beverages
1042,2015-02-12,False,beef,Meat
1176,2015-03-30,False,whole milk,Dairy
3054,2015-02-23,False,frankfurter,Other
4486,2015-12-02,False,frankfurter,Other
1580,2015-12-05,True,other vegetables,Produce
1623,2015-11-02,False,frankfurter,Other
4169,2015-11-24,False,whole milk,Dairy
2254,2015-01-24,True,frankfurter,Other
4095,2015-11-01,True,other vegetables,Produce
1264,2015-11-17,False,bottled water,Beverages
3375,2015-01-06,False,pork,Meat
3242,2015-05-23,True,bottled water,Beverages
2227,2015-06-07,True,other vegetables,Produce
3847,2015-12-03,False,hamburger meat,Other
3897,2015-05-31,True,hamburger meat,Other
1799,2015-09-27,True,shopping bags,Other
2920,2015-04-26,True,whole milk,Dairy
3713,2015-01-31,True,ice cream,Dairy
4230,2015-11-05,False,pastry,Bakery
1455,2015-03-18,False,ham,Other
3687,2015-03-18,False,frankfurter,Other
3869,2015-08-01,True,sausage,Meat
2988,2015-10-14,False,bottled beer,Beverages
4242,2015-03-30,False,bottled water,Beverages
4118,2015-12-24,False,meat,Other
4996,2015-10-24,True,dessert,Other
4489,2015-03-04,False,other vegetables,Produce
1199,2015-11-09,False,beverages,Other
4108,2015-05-12,False,ham,Other
3484,2015-06-05,False,specialty bar,Other
1239,2015-08-31,False,brown bread,Bakery
4839,2015-12-19,True,whole milk,Dairy
4748,2015-05-07,False,rolls/buns,Bakery
4426,2015-06-06,True,bottled beer,Beverages
3571,2015-12-11,False,pet care,Other
2852,2015-06-08,False,citrus fruit,Produce
3638,2015-05-26,False,pork,Meat
3635,2015-03-10,False,other vegetables,Produce
2723,2015-05-07,False,white wine,Beverages
3495,2015-03-11,False,whole milk,Dairy
2813,2015-11-16,False,pip fruit,Produce
2799,2015-09-02,False,sugar,Other
4723,2015-05-22,False,tropical fruit,Produce
3313,2015-04-08,False,root vegetables,Produce
4748,2015-12-15,False,soda,Beverages
2991,2015-02-16,False,whole milk,Dairy
1483,2015-04-01,False,tropical fruit,Produce
3950,2015-10-01,False,white bread,Bakery
1634,2015-01-16,False,brown bread,Bakery
2694,2015-11-21,True,tropical fruit,Produce
2707,2015-10-18,True,domestic eggs,Other
2813,2015-07-16,False,coffee,Other
2276,2015-01-11,True,soda,Beverages
4726,2015-02-06,False,whole milk,Dairy
4353,2015-05-25,False,bottled beer,Beverages
4017,2015-08-13,False,pork,Meat
1422,2015-08-21,False,other vegetables,Produce
2714,2015-03-15,True,yogurt,Dairy
2769,2015-07-21,False,sparkling wine,Beverages
4166,2015-04-30,False,bottled water,Beverages
3614,2015-03-02,False,citrus fruit,Produce
4361,2015-09-05,True,hamburger meat,Other
1922,2015-09-22,False,packaged fruit/vegetables,Produce
4728,2015-09-06,True,other vegetables,Produce
3646,2015-08-08,True,soda,Beverages
1155,2015-08-10,False,whole milk,Dairy
2119,2015-06-11,False,herbs,Other
1602,2015-08-29,True,citrus fruit,Produce
1074,2015-06-24,False,misc. beverages,Other
2256,2015-04-11,True,female sanitary products,Other
1348,2015-09-17,False,soda,Beverages
3806,2015-08-28,False,tropical fruit,Produce
1711,2015-06-06,True,soda,Beverages
3959,2015-04-12,True,white bread,Bakery
1590,2015-08-15,True,coffee,Other
1962,2015-06-08,False,tropical fruit,Produce
1766,2015-01-21,False,pork,Meat
2551,2015-10-21,False,citrus fruit,Produce
2294,2015-09-23,False,frankfurter,Other
4531,2015-05-29,False,frankfurter,Other
2957,2015-04-12,True,frankfurter,Other
4415,2015-01-27,False,other vegetables,Produce
1476,2015-08-26,False,yogurt,Dairy
3978,2015-07-23,False,sausage,Meat
2062,2015-09-22,False,whole milk,Dairy
3252,2015-06-28,True,pip fruit,Produce
3922,2015-06-24,False,whole milk,Dairy
1491,2015-10-17,True,root vegetables,Produce
3526,2015-08-26,False,onions,Produce
4060,2015-12-11,False,specialty chocolate,Other
1067,2015-04-08,False,hamburger meat,Other
2840,2015-01-27,False,photo/film,Other
4484,2015-11-27,False,rolls/buns,Bakery
2353,2015-02-07,True,canned beer,Beverages
3130,2015-02-18,False,canned beer,Beverages
4273,2015-06-14,True,other vegetables,Produce
4565,2015-12-30,False,canned beer,Beverages
2504,2015-08-14,False,curd,Other
4127,2015-10-23,False,butter,Other
2690,2015-04-01,False,other vegetables,Produce
4129,2015-09-22,False,whole milk,Dairy
4511,2015-06-29,False,beef,Meat
1602,2015-08-04,False,sausage,Meat
4369,2015-02-01,True,soda,Beverages
1302,2015-09-29,False,fruit/vegetable juice,Produce
3326,2015-04-30,False,rolls/buns,Bakery
2066,2015-05-21,False,pip fruit,Produce
3483,2015-01-15,False,frozen vegetables,Produce
2840,2015-02-12,False,beverages,Other
1807,2015-05-18,False,hamburger meat,Other
2067,2015-08-12,False,root vegetables,Produce
3783,2015-02-17,False,canned beer,Beverages
2884,2015-01-04,True,frozen vegetables,Produce
2908,2015-03-15,True,canned beer,Beverages
1330,2015-07-10,False,newspapers,Other
2293,2015-05-08,False,rolls/buns,Bakery
3718,2015-05-20,False,hamburger meat,Other
4338,2015-01-25,True,pip fruit,Produce
3486,2015-11-08,True,canned beer,Beverages
3635,2015-09-04,False,grapes,Other
2857,2015-02-18,False,root vegetables,Produce
3684,2015-08-13,False,citrus fruit,Produce
3120,2015-10-20,False,cling film/bags,Other
3872,2015-03-19,False,frankfurter,Other
2777,2015-04-07,False,whole milk,Dairy
2702,2015-05-27,False,pork,Meat
4796,2015-06-29,False,chicken,Meat
1564,2015-10-23,False,sausage,Meat
2740,2015-07-02,False,specialty bar,Other
1833,2015-04-13,False,whipped/sour cream,Dairy
1757,2015-12-23,False,root vegetables,Produce
2975,2015-10-24,True,rolls/buns,Bakery
4032,2015-08-10,False,other vegetables,Produce
3979,2015-09-16,False,citrus fruit,Produce
3772,2015-03-09,False,whole milk,Dairy
4523,2015-10-28,False,frankfurter,Other
4004,2015-04-19,True,coffee,Other
2936,2015-06-08,False,ham,Other
2394,2015-06-21,True,canned beer,Beverages
4616,2015-08-16,True,canned beer,Beverages
2362,2015-07-08,False,canned beer,Beverages
3593,2015-11-03,False,pip fruit,Produce
4389,2015-08-27,False,pork,Meat
3206,2015-08-11,False,soap,Other
4601,2015-01-04,True,pip fruit,Produce
4382,2015-11-13,False,beef,Meat
2718,2015-06-08,False,sausage,Meat
4691,2015-10-12,False,frozen chicken,Meat
3735,2015-11-28,True,soda,Beverages
3900,2015-12-20,True,tropical fruit,Produce
4959,2015-06-30,False,other vegetables,Produce
1815,2015-08-30,True,beef,Meat
2454,2015-04-08,False,meat,Other
4778,2015-01-15,False,meat,Other
2289,2015-11-04,False,bottled water,Beverages
1734,2015-07-13,False,rolls/buns,Bakery
4019,2015-02-05,False,pastry,Bakery
4605,2015-05-28,False,pork,Meat
4864,2015-11-14,True,pip fruit,Produce
4205,2015-02-22,True,beef,Meat
1862,2015-08-03,False,beef,Meat
1846,2015-07-19,True,rolls/buns,Bakery
2019,2015-05-28,False,citrus fruit,Produce
2042,2015-11-19,False,meat,Other
1768,2015-05-26,False,beverages,Other
3847,2015-03-26,False,beef,Meat
3557,2015-07-20,False,ham,Other
3975,2015-02-27,False,hamburger meat,Other
4198,2015-03-18,False,beef,Meat
2580,2015-09-04,False,beef,Meat
3474,2015-08-25,False,root vegetables,Produce
1678,2015-11-14,True,citrus fruit,Produce
4254,2015-08-14,False,yogurt,Dairy
4704,2015-08-21,False,tropical fruit,Produce
3343,2015-05-10,True,frankfurter,Other
3812,2015-06-24,False,beef,Meat
3093,2015-03-13,False,shopping bags,Other
2170,2015-06-18,False,canned beer,Beverages
4867,2015-10-29,False,rolls/buns,Bakery
3899,2015-03-23,False,other vegetables,Produce
2941,2015-10-03,True,hamburger meat,Other
1958,2015-07-03,False,hamburger meat,Other
2760,2015-08-08,True,frankfurter,Other
4413,2015-08-03,False,bottled beer,Beverages
1737,2015-05-15,False,tropical fruit,Produce
4202,2015-02-18,False,soda,Beverages
1065,2015-11-13,False,frankfurter,Other
3819,2015-06-28,True,chicken,Meat
2854,2015-02-08,True,coffee,Other
4387,2015-09-16,False,whole milk,Dairy
4530,2015-04-12,True,margarine,Other
4191,2015-11-03,False,tropical fruit,Produce
3102,2015-12-04,False,meat,Other
1946,2015-01-25,True,cream cheese ,Dairy
2156,2015-05-15,False,newspapers,Other
